title,imageUrl,directors,synopsis,year,rating,letterboxd_url,event_description,event_time_date
Bringing Up Baby,https://metrograph.com/wp-content/uploads/2026/03/BRINGING-UP-BABY_1-copy.jpg,['Howard Hawks'],"Nebbish soon-to-be-wed paleontologist Cary Grant would be perfectly happy to stay home and play with his dinosaur bones, but then Katherine Hepburn’s strident and relentless heiress crash lands into his life with other plans. A whirlwind of deranged…",1938,4.0,https://letterboxd.com/film/bringing-up-baby/,,
"Harvest: 3,000 Years",https://metrograph.com/wp-content/uploads/2026/03/harvest-still-001.jpeg,['Haile Gerima'],"Born and raised in Ethiopia before relocating to the United States for his studies, where, at UCLA, he would become associated with the LA Rebellion school of Black filmmakers, Gerima returned to his homeland, then riven by the civil war that had seen the…",1975,3.8,https://letterboxd.com/film/harvest-3000-years/,,
Boyfriends and Girlfriends,https://metrograph.imgix.net/2020/04/Boyfriends_1600.jpg?fm=pjpg&ixlib=php-3.3.1,['Éric Rohmer'],Rohmer uses the amorous misadventures of two girlfriends in the Paris suburbs to test the old proverb “les amis de mes amis sont mes amis” (“the friends of my friends are my friends”) in the final episode of his “Comedies and Proverbs” series.…,1987,4.1,https://letterboxd.com/film/boyfriends-and-girlfriends/,,
Made in U.S.A.,https://metrograph.com/wp-content/uploads/2026/03/MADE-IN-U.S.A._2.jpeg,['Jean-Luc Godard'],"A provincial French city plays Atlantic City and Anna Karina (in her last film with Godard) plays a trench-coated woman searching for her boyfriend, Richard, in JLG’s cockeyed deconstruction of American noir tropes, its cast rounded out by Marianne…",1966,3.3,https://letterboxd.com/film/made-in-usa/,,
In a Year of 13 Moons,https://metrograph.com/wp-content/uploads/2026/03/IN-A-YEAR-OF-13-MOONS_1.jpeg,['Rainer Werner Fassbinder'],"Among Fassbinder’s most emotionally brutalizing films—and that’s saying something!—is the devastating story of a spiralling working-class transsexual, Elvira (Volker Spengler), struggling to make sense of her life after being callously cast aside…",1978,4.0,https://letterboxd.com/film/in-a-year-with-13-moons/,,
The Double Life of Veronique,https://metrograph.com/wp-content/uploads/2026/03/THE-DOUBLE-LIFE-OF-VERONIQUE_1.jpeg,['Krzysztof  Kieślowski'],"Introduction by Richard Peña, Professor Emeritus, Columbia University, and Director Emeritus, NYFF, on Saturday, April 17th",1991,4.1,https://letterboxd.com/film/the-double-life-of-veronique/,"Introduction by Richard Peña, Professor Emeritus, Columbia University, and Director Emeritus, NYFF, on Saturday, April 17th","Saturday April 18, 7:50pm"
Blind Chance,https://metrograph.com/wp-content/uploads/2026/03/BLIND-CHANCE_3.jpeg,['Krzysztof  Kieślowski'],"Uncertain as to where his future lies after his father’s death robs him of his sense of vocation, medical student Witek (Bogusław Linda) impulsively decides to catch a train to Warsaw when… Kieślowski’s triptych “sliding doors” film shows…",1987,4.0,https://letterboxd.com/film/blind-chance/,,
The Emperor and the Assassin,https://metrograph.com/wp-content/uploads/2026/03/THE-EMPEROR-AND-THE-ASSASSIN_4-copy.jpg,['Chen Kaige'],"The most expensive film ever made in the PRC when it took home the Technical Prize at the 1999 Cannes Film Festival, inspired by the attempted assassination in the third century BC of Ying Zheng, first Emperor of a unified China, by folk hero Jing Ke,…",1998,3.7,https://letterboxd.com/film/the-emperor-and-the-assassin/,,
Muna moto,https://metrograph.com/wp-content/uploads/2026/03/MUNA-MOTO_3.jpeg?u?? ?????,['Dikongué- Pipa'],"Introduction by filmmaker Director and Film Curator Mohamed Challouf on Saturday, April 18th",1975,3.8,https://letterboxd.com/film/muna-moto/,"Introduction by filmmaker Director and Film Curator Mohamed Challouf on Saturday, April 18th","Saturday April 18, 4:30pm"
Chinatown,https://metrograph.com/wp-content/uploads/2025/03/Chinatown-featured.jpeg,['Roman Polanski'],"The actual Chinatown neighborhood in Los Angeles doesn’t play a major role in Polanski’s noir-inflected film of dirty dealings in 1930s Southern California, but it does a whole lot of metaphorical heavy lifting in the film’s famous kicker line,…",1974,4.3,https://letterboxd.com/film/chinatown/,,
Bambi,https://metrograph.com/wp-content/uploads/2026/03/BAMBI_1-copy.jpgA,"['James Algar', 'Samuel Armstrong', 'David Hand']","If one were to point to a single film as the encapsulation of Walt Disney’s contribution to the art of animation, one could do much worse than this loose adaptation of Austrian Felix Salten’s novel Bambi, a Life in the Woods, in which we follow the…",1942,3.6,https://letterboxd.com/film/bambi/,,
No End,https://metrograph.com/wp-content/uploads/2026/03/NO-END_5-copy.jpg,['Krzysztof  Kieślowski'],"Introduction by Rafał Syska, film historian, Professor at Jagiellonian University in Kraków, museum curator and former Director of the National Centre for Film Culture in",1985,3.5,https://letterboxd.com/film/better-off-dead/,"Introduction by Rafał Syska, film historian, Professor at Jagiellonian University in Kraków, museum curator and former Director of the National Centre for Film Culture in","Sunday April 19, 2:15pm"
A Short Film About Love,https://metrograph.com/wp-content/uploads/2026/03/A-SHORT-FILM-ABOUT-LOVE_3.jpeg,['Krzysztof  Kieślowski'],"Tomek (Olaf Lubaszenko), a desultory, puffy-faced 19-year-old postal clerk temporarily staying in his godmother’s apartment in a Warsaw housing project, spends his idle hours brushing up on his Portuguese and peering through a telescope at Magda…",1988,4.1,https://letterboxd.com/film/a-short-film-about-love/,,
Therese and Isabelle,https://metrograph.com/wp-content/uploads/2026/03/THERESE-AND-ISABELLE_1.jpeg,['Radley Metzger'],"Introduction by Rob King on Sunday, April 19th",1968,3.3,https://letterboxd.com/film/therese-and-isabelle/,,
